mean_pixel,std_pixel,min_pixel,max_pixel,contrast,sharpness,gradient,mse,psnr,ssim,filename,quality_label
130.14988425925927,47.36142289717053,2.0,253.0,251.0,721.1309721792959,39.52405285033471,12.043971354166667,37.3231064696825,0.9716560932312256,frame_0000.png,0
130.69693672839506,48.289532323003414,1.0,251.0,250.0,1617.7689336226852,43.21447108091124,55.100717592592595,30.71923106036563,0.9179809487639551,frame_0001.png,1
131.06181327160493,48.601191989100734,0.0,255.0,255.0,1826.8225595790943,44.17286032290128,71.33058304398148,29.598045869839297,0.9011289810141893,frame_0002.png,1
129.9572222222222,48.74605198005245,0.0,254.0,254.0,1737.0856845564106,43.97123818559608,67.21433883101852,29.856184299136544,0.9019245464781087,frame_0003.png,1
128.84918981481482,49.13369322878538,0.0,252.0,252.0,1884.2207280520668,44.60652235965199,76.5820172646605,29.289535588539973,0.8937689314144992,frame_0004.png,1
128.33761574074074,49.10052791191646,0.0,252.0,252.0,1805.2828457918358,44.57375244684207,72.18602478780865,29.546272345588523,0.8942293645198348,frame_0005.png,1
128.1745601851852,49.18108450913659,0.0,250.0,250.0,1829.5373359252947,44.21524771862236,78.22417341820987,29.19739378142769,0.8876736336882673,frame_0006.png,1
128.49246913580248,49.02447727715646,1.0,250.0,249.0,1790.9028769027566,43.78135980827281,73.06896026234568,29.493474332891992,0.8930803044496988,frame_0007.png,1
128.03989197530865,49.18844431054955,0.0,249.0,249.0,1857.548672839268,44.02773722271229,79.26982928240741,29.139724379815412,0.8872788024508919,frame_0008.png,1
128.37999228395063,48.884224171397534,0.0,248.0,248.0,1820.424250861566,44.25666383381942,76.07222366898148,29.318542495550037,0.8894910052489253,frame_0009.png,1
128.186512345679,48.90241650151983,0.0,248.0,248.0,1897.7850154318605,44.31430098547234,78.68379533179012,29.171950608165957,0.887288797058323,frame_0010.png,1
129.4025540123457,48.02225719786873,2.0,250.0,248.0,1546.7503539930556,41.911223284058124,54.67022955246914,30.753294634321545,0.9152281573213483,frame_0011.png,1
130.4228549382716,48.01310060289429,1.0,250.0,249.0,1501.47733477271,41.14689672326256,54.79814814814815,30.74314478708903,0.915346300414048,frame_0012.png,1
132.19941358024693,48.42543430809595,3.0,247.0,244.0,1613.2915099641823,41.28462851779128,61.33976514274691,30.253382520418594,0.9104665108907465,frame_0013.png,1
132.85841820987653,48.48848653557137,3.0,253.0,250.0,1710.9695303952806,41.13667643935919,67.83537229938271,29.8162414799593,0.9047293053412576,frame_0014.png,1
133.2029012345679,47.76958767892954,4.0,253.0,249.0,1713.3970288060484,41.373031085925206,66.2476138117284,29.919101209317056,0.9054953596581317,frame_0015.png,1
132.27140432098764,47.676272311773715,1.0,252.0,251.0,1423.9709867091049,40.86366614150653,46.67917100694444,31.43957226226079,0.9261164930904346,frame_0016.png,1
130.18694444444444,48.406344337752486,2.0,253.0,251.0,1685.1676984710195,41.75542986632157,61.645287905092594,30.23180475638157,0.9092976506725302,frame_0017.png,1
128.61054783950618,48.35695943800397,1.0,252.0,251.0,1679.3093893146408,43.96853585650644,61.6405574845679,30.232138029925743,0.907043340970963,frame_0018.png,1
128.2365663580247,48.46908268342888,0.0,252.0,252.0,1749.9263226251717,45.57117547090182,60.21578993055556,30.333699729233942,0.9051747223605618,frame_0019.png,1
126.77947530864198,48.864989376461914,2.0,253.0,251.0,1645.6364307803688,47.38611333652133,55.607554494598766,30.67946564745419,0.9104892640644072,frame_0020.png,1
122.90543981481481,50.950213850346785,1.0,252.0,251.0,1540.9638946972996,47.602761895294506,55.639164255401234,30.67699762948216,0.9149051342773913,frame_0021.png,1
123.71236111111111,51.00601675636984,3.0,251.0,248.0,1364.4706542037588,45.05505965718255,43.28268518518519,31.76766165032458,0.9255320888161123,frame_0022.png,1
130.82452160493827,46.573355559521445,0.0,248.0,248.0,1166.7537576159668,38.10317569301069,37.88765769675926,32.345826038593756,0.9334154200016243,frame_0023.png,1
141.1654861111111,38.31848180694278,1.0,247.0,246.0,1044.4684829865873,32.73008493728335,40.90547019675926,32.01298971750215,0.9302222581270724,frame_0024.png,1
139.95716820987656,42.43135935233678,2.0,253.0,251.0,1144.1410874913672,33.90997812972339,38.85862172067901,32.23592968353993,0.9325647280089555,frame_0025.png,1
140.13006944444444,44.028892767109724,0.0,255.0,255.0,1107.5141425277563,34.51725170026416,38.564328221450616,32.2689459037767,0.9379099750565917,frame_0026.png,1
135.0388425925926,49.923019016008574,0.0,255.0,255.0,1398.8321182812617,39.60947551870406,50.21480565200617,31.122485747001587,0.9261052565047819,frame_0027.png,1
133.85297839506174,51.88453933191195,0.0,255.0,255.0,1708.4073483533734,43.77654370208511,65.89439814814814,29.94231865192813,0.9136281617517842,frame_0028.png,1
136.50391203703703,51.608336997610465,0.0,255.0,255.0,1711.9172427268493,43.741667677034805,59.17855902777778,30.409159747966534,0.9195901836288304,frame_0029.png,1
138.01718364197532,51.29445021571364,0.0,255.0,255.0,1915.8520056905863,44.954382000546985,71.18622926311728,29.606843719145054,0.9089607759664325,frame_0030.png,1
137.34476080246912,52.08263812444053,1.0,255.0,254.0,2055.4313705751792,45.24245884269432,78.06659239969136,29.206151380077557,0.8978726586267846,frame_0031.png,1
136.13408950617284,52.988145205791206,1.0,255.0,254.0,1606.430406064005,42.96651340952422,49.308519000771604,31.20158402332954,0.9254883336018829,frame_0032.png,1
136.33841820987655,53.89874754578359,0.0,255.0,255.0,1582.8798429698215,40.74287428477568,50.29729890046296,31.115356979615257,0.9294620169245346,frame_0033.png,1
